,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
1163,Recognise whether you need to add or subtract linear equations in order to eliminate a variable,Simultaneous Equations,B,"What do you need to do to eliminate the \( q s \) in each of these pairs of simultaneous equations? Pair \( 1 \)
\(
\begin{array}{l}
-5 p+2 q=12 \\
3 p-2 q=8
\end{array}
\) Pair \( 2 \)
\(
\begin{array}{l}
-5 p-2 q=12 \\
3 p+2 q=8
\end{array}
\)","Add Pair \( 1 \) 
Subtract Pair \( 2 \)","Add Pair \( 1 \)
Add Pair \( 2 \)","Subtract Pair \( 1 \)
Add Pair \( 2 \)","Subtract Pair \( 1 \)
Subtract Pair \( 2 \)",nan,nan,nan,"Believes that when eliminating a variable, if the signs of the terms with matching coefficients are different, we subtract the equations."
1164,Interpret continuous data using a line graph,Time Series and Line Graphs,A,This graph shows how much a block of ice melted over time. ![Chart of water depth (cm) against time (minutes)]() What was the difference between the second minute and fourth minute?,\( 6 \mathrm{~cm} \),\( 6 \),\( 9 \mathrm{~cm} \),\( 2 \mathrm{~cm} \),nan,Does not include units in answer.,Does not understand the command word 'difference',Has used the wrong data point on the graph
1165,Carry out multiplication problems involving one negative integer,Expanding Double Brackets,B,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the -8 in the first bracket and the -2 in the second bracket.]()",\( -10 \),\( +16 \),\( -6 \),\( -16 \),Adds instead of multiplying when expanding bracket,nan,nan,Believes multiplying two negatives gives a negative answer
1166,Round numbers to one decimal place,Rounding to Decimal Places,B,\( 154.1762 \) to \( 1 \) decimal place is.,\( 154.1 \),\( 154.2 \),\( 155.2 \),\( 155.1 \),Rounds down instead of up,nan,Rounds incorrectly by changing multiple place values,Rounds incorrectly by changing multiple place values
1167,Convert between m and km,Length Units,C,\( 4000 m \) is the same as ____ \(km\),\( 400 \),\( 400000 \),\( 4 \),\( 40 \),Thinks there are 10m in a km,Multiplies rather than divides,nan,Thinks there are 100m and a km
1168,Describe simple directions to translate a shape or object using words not vectors,Translation and Vectors,B,"![A coordinate grid with point V marked at (2,2) and point W marked at (-3,-1)]() Describe the movements to get from point \( \mathrm{V} \) to point \( \mathrm{W} \).","Left \( 4 \) squares, down \( 3 \) squares","Left \( 5 \) squares, down \( 3 \) squares","Right \( 5 \) squares, up \( 3 \) squares","Left \( 5 \) squares, up \( 3 \) squares","When describing a translation, miscounts when crossing an axis",nan,"When describing a translation, goes from the image to the original","When describing a translation, identifies the correct number of jumps but mixes up the directions ."
1169,Find 100 more than a given number,Place Value,D,What number is \( 100 \) more than \( 28902 ? \),"\( 2,890,200 \)","\( 29,902 \)","\( 28,002 \)","\( 29,002 \)",Multiplies rather than adds when given the command word 'more',When adding powers of 10 adds onto the wrong column,"When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",nan
1170,Recall the correct formula to calculate the length of a non-hypotenuse of a right-angled triangle in a 2D Pythagoras questions,2D Pythagoras,D,"A right-angled tringle has sides a, b, and \( c \) as shown.

Choose the formula for finding side a. ![Right-angled triangle with height a, base b and hypotenuse c.]()",\( a=c-b \),\( a^{2}=b^{2}+c^{2} \),\( a^{2}=b^{2}-c^{2} \),\( a^{2}=c^{2}-b^{2} \),"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression",nan,nan,nan
1171,Convert from improper fractions to mixed number fractions,Converting Mixed Number and Improper Fractions,D,Write \( \textbf{nineteen fifths} \) as a mixed number fraction.,\( 4 \frac{1}{5} \),\( 19 \frac{1}{5} \),\( \frac{19}{5} \),\( 3 \frac{4}{5} \),"When converting from an improper fraction to a mixed number, adds on the part left to make the whole, rather than subtracting it",Writes the numerator of an improper fraction as the number of wholes when converting to a mixed number,Confused mixed numbers with improper fractions,nan
1172,Convert fractions less than 1 to terminating decimals of 1 decimal place,Converting between Fractions and Decimals,B,What is \( \frac{4}{5} \) as a decimal?,\( 0.5 \),\( 0.8 \),\( 0.4 \),\( 0.45 \),Converts a fraction to a decimal by using the denominator after the decimal point,nan,Converts a fraction to a decimal by using only the numerator after the decimal point,Converts a fraction to a decimal by placing all values of the fraction after the decimal point
1173,Understand inequality notation,Inequalities on Number Lines,D,Which of these statements show that \( \mathrm{t} \) is greater than \( 9 \) ?,\( t<9 \),\( t=9 \),\( \mathrm{t} \leq 9 \),\( t>9 \),Mixes up greater than and less than symbols,Confuses inequality symbols with equality,nan,nan
1174,Convert fractions to percentages containing 1 decimal place,Converting between Fractions and Percentages,D,"What percentage is represented by:
\(
\frac{3}{10}+ \frac{7}{1000}
\)",\( 307 \% \),\( 3.7 \% \),\( 37 \% \),\( 30.7 \% \),Does not know that you can have a decimal percentage,Thinks you just add a % sign to the numerator to make a fraction into a percentage,nan,nan
1175,Convert from hours to minutes,Time,C,"Hannah's journey to camp is \( 3 \) hours and \( 26 \) minutes.
Tori's journey to camp is \( 204 \) minutes.
What is the difference in their journeys in minutes?",\( 206 \) minutes,\( 122 \) minutes,\( 2 \) minutes,\( 410 \) minutes,nan,Answers as if there are 100 minutes in an hour when changing from hours to minutes,nan,Adds instead of subtracts
1176,Calculate the length of horizontal and vertical line segments,Distance Between Two Co-ordinates,B,"![A rectangle drawn on a coordinate grid. Three of the vertices are labelled (3,12) (10,12) and (10,7). There is a red arrow between (3,12) and (10,12) indicating the width.]() What is the width of this rectangle as indicated by the arrow?",\( 12 \),\( 7 \),\( 5 \),\( 13 \),Does not know how to find the length of a line segment from coordinates,nan,Mixes up width and height of a rectangle,Does not know how to find the length of a line segment from coordinates
1177,"Given a positive x value, find a y value in a table of values for lines in the form ax + by = c",Plotting Lines from Tables of Values,B,"\begin{tabular}{|l|l|l|c|c|c|}
\hline\( x \) & \( 0 \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( y \) & \( 4 \) &  \( \ \) & \(\color{gold}\bigstar\)
\end{tabular}

This is a table of values for \( x+2 y=8 \) What should replace the star?",\( 16 \),\( 3 \),\( 2 \),\( 6 \),nan,nan,nan,When solving an equation forgets to eliminate the coefficient in front of the variable in the last step
1178,Factorise a quadratic expression in the form x² + bx + c,Factorising into a Double Bracket,C,"Factorise this expression, if possible:
\(
p^{2}+5 p+4
\)",\( (p+2)(p+3) \),\( (p+1)(p+5) \),\( (p+1)(p+4) \),Does not factorise,"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x",Believes the coefficent of x in an expanded quadratic comes from multiplying the two numbers in the brackets,nan,nan
1179,Can calculate missing coordinates in a geometric shape,Naming Co-ordinates in 2D,C,"![A coordinate grid with a line segment from (0,2) to (3,1)]() The line segment is one side of a square.

Tom says a vertex of the square could be \( (2,-2) \).

Katie says a vertex of the square could be \( (1,5) \).
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Believes a coordinate cannot be placed beyond the bounds of the grid shown,nan,nan,Does not realise that if the horizontal and vertical measurements of a diagonal line segment switch it remains the same size
1180,Estimate the gradient at a point on a non-linear section of a real life graph,Gradient as change in y over change in x,C,"The graph shows information about the velocity, \( v \mathrm{~m} / \mathrm{s} \), of a parachutist \( t \) seconds after leaving a plane.

Which of the following is the best estimate for the gradient of the curve when \[t=8\]? ![A graph showing time in seconds on the x axis and velocity in metres per second on the y axis. A curve is shown with a tangent to the curve drawn in at (8,51). The tangent also passes through the point (0,40)]()",\( 51 \),\( 0.72... \),\( 1.375 \),\( 6.375 \),Does not understand the difference between a value on a graph and the gradient of a graph,Believes gradient = change in x/change in y,nan,"When finding the difference between two points on a time series graph, only uses one of the points. "
1181,Identify the net of a prism,Nets,A,Which is the correct net for this shape? ![Net of a cuboid](),![Correct net of a cuboid](),![Net of a triangular prism](),![Net of a cube](),![None of the above](),nan,Struggles to visualise nets of 3D shapes,Mixes up cubes and cuboids,Struggles to visualise nets of 3D shapes
1182,Perform calculator calculations with powers,Basic Calculator Use,B,Which of the following would give you the correct value of \( \frac{1}{7} \) on your calculator? ![A scientific calculator](),"![The number 1, then a calculator button labelled \(-\), then the number 7]()","![The number 7, then a calculator button labelled \(x^{-1} \)]()","![The number 1, then a calculator button labelled \(x^{\square} \), then the number 7]()",None of these,Believes the subtraction button writes a fraction,nan,Believes the power button writes a fraction,nan
1183,Carry out multiplication problems involving one negative integer,Multiplying and Dividing Negative Numbers,D,\( 5 \times(-4)= \),\( -9 \),\( 9 \),\( 20 \),\( -20 \),nan,nan,Believes multiplying a positive by a negative gives a positive answer,nan
1184,Recognise visual representations of division times table facts,Mental Multiplication and Division,B,"![Six groups of three dots]() Jo says the diagram above represents
\[
3 \div 18=6
\]
Paul says the diagram represents \( 6 \times 3=18 \)
Who is correct?",Neither is correct,"Only
Paul","Only
Jo",Both Jo and Paul,nan,nan,nan,Believes division is commutative 
1185,Complete the square for expressions that end up in the form (x + a)² + b,Completing the Square,A,"\(y= x^{2}+8x+2 \)

Write in the form
\( (x+a)^{2}+b \)",\( (x+4)^{2}-14 \),\( (x+4)^{2}+2 \),\( (x+8)^{2}+2 \),\( (x+4)^{2}-16 \),nan,"When completing the square in the form (x - a)^2 + b, believes b = the original constant","When completing the square, believes the constant in the bracket is the coefficient of x","When completing the square in the form (x - a)^2 + b, believes b = -a^2 regardless of the original constant"
